trip_id,line_id,line_name,date,day_of_week,is_weekend,planned_departure,actual_departure,departure_delay_min,planned_duration_min,actual_duration_min,total_delay_min,num_stops,weather_condition,temperature_c,precipitation_mm,wind_speed_kmh,humidity_pct,traffic_level,speed_factor,bus_capacity,avg_occupancy_pct
TRP-00001,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 05:30:00,2025-03-01 05:30:00,0,31.7,33.2,1.5,14,cloudy,5.4,0,9.8,75.0,low,0.954,60,92.6
TRP-00002,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 05:42:00,2025-03-01 05:42:00,0,31.7,38.6,6.9,14,rain,17.8,5.3,5.7,94.2,low,0.821,60,64.3
TRP-00003,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 05:54:00,2025-03-01 05:54:00,0,31.7,58.3,26.6,14,snow,21.0,15.1,20.9,74.7,moderate,0.544,60,15.9
TRP-00004,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 06:06:00,2025-03-01 06:13:18,7.3,31.7,40.3,8.6,14,wind,32.7,0,25.0,96.4,moderate,0.787,60,93.9
TRP-00005,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 06:18:00,2025-03-01 06:19:24,1.4,31.7,39.5,7.8,14,clear,20.2,0,8.5,83.6,moderate,0.802,60,63.2
TRP-00006,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 06:30:00,2025-03-01 06:32:48,2.8,31.7,40.6,8.9,14,clear,30.2,0,12.6,84.1,moderate,0.78,60,68.0
TRP-00007,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 06:42:00,2025-03-01 06:48:42,6.7,31.7,30.7,-1.0,14,clear,1.6,0,3.9,87.7,low,1.032,60,63.3
TRP-00008,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 06:54:00,2025-03-01 06:56:54,2.9,31.7,79.1,47.4,14,cloudy,6.5,0,9.2,35.8,congested,0.401,60,75.8
TRP-00009,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 07:06:00,2025-03-01 07:06:00,0,31.7,33.9,2.2,14,clear,11.3,0,9.7,54.3,low,0.936,60,95.7
TRP-00010,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 07:18:00,2025-03-01 07:18:00,0,31.7,41.5,9.8,14,clear,29.4,0,16.2,96.6,moderate,0.764,60,97.7
TRP-00011,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 07:30:00,2025-03-01 07:33:48,3.8,31.7,40.5,8.8,14,clear,19.0,0,15.9,73.8,moderate,0.783,60,15.2
TRP-00012,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 07:42:00,2025-03-01 07:42:00,0,31.7,34.0,2.3,14,cloudy,35.5,0,8.7,89.4,low,0.931,60,75.3
TRP-00013,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 07:54:00,2025-03-01 07:54:00,0,31.7,39.0,7.3,14,cloudy,19.2,0,14.9,76.5,moderate,0.812,60,52.8
TRP-00014,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 08:06:00,2025-03-01 08:06:00,0,31.7,31.4,-0.3,14,cloudy,27.4,0,4.1,52.1,low,1.008,60,57.0
TRP-00015,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 08:18:00,2025-03-01 08:18:00,0,31.7,49.6,17.9,14,clear,29.2,0,4.0,76.9,high,0.639,60,43.9
TRP-00016,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 08:30:00,2025-03-01 08:31:48,1.8,31.7,46.8,15.1,14,snow,21.9,2.6,18.4,86.8,low,0.678,60,41.6
TRP-00017,L01,Merkez - Universitesi,2025-03-01,5,1,2025-03-01 08:42:00,2025-03-01 08:46:12,4.2,31.7,51.3,19.6,14,snow,18.0,2.5,19.7,61.1,low,0.618,60,48.3
