stop_id,line_id,stop_type,hour_of_day,day_of_week,is_weekend,time_bucket,weather_condition,avg_passengers_waiting,avg_passengers_boarding,avg_dwell_time_min,sample_count,std_passengers_waiting,max_passengers_waiting,crowding_level
STP-L01-01,L01,terminal,6,1,0,early_morning,rain,66,42,1.3,94,21.4,108,crowded
STP-L01-01,L01,terminal,6,1,0,early_morning,snow,77,64,1.6,100,10.6,157,crowded
STP-L01-01,L01,terminal,6,3,0,early_morning,snow,71,55,1.2,60,12.5,138,crowded
STP-L01-01,L01,terminal,6,3,0,early_morning,wind,35,24,0.5,64,7.9,86,busy
STP-L01-01,L01,terminal,6,5,1,early_morning,fog,27,16,0.7,109,8.3,71,moderate
STP-L01-01,L01,terminal,6,5,1,early_morning,rain,39,33,1.3,39,8.8,88,busy
STP-L01-01,L01,terminal,7,3,0,morning_rush,clear,78,67,2.6,8,17.1,216,crowded
STP-L01-01,L01,terminal,7,3,0,morning_rush,wind,97,61,0.4,10,22.4,200,crowded
STP-L01-01,L01,terminal,7,6,1,morning_rush,fog,65,54,2.1,119,8.2,106,crowded
STP-L01-01,L01,terminal,7,6,1,morning_rush,cloudy,64,48,1.8,13,10.4,110,crowded
STP-L01-01,L01,terminal,8,0,0,morning_rush,fog,115,84,1.1,52,13.9,273,crowded
STP-L01-01,L01,terminal,8,0,0,morning_rush,rain,159,99,2.9,47,26.5,295,crowded
STP-L01-01,L01,terminal,8,6,1,morning_rush,wind,61,53,2.1,19,6.6,145,crowded
STP-L01-01,L01,terminal,8,6,1,morning_rush,cloudy,60,44,0.7,100,8.2,122,crowded
STP-L01-01,L01,terminal,9,1,0,midday,cloudy,42,33,1.4,15,7.3,112,busy
STP-L01-01,L01,terminal,9,1,0,midday,wind,41,27,1.8,19,6.7,61,busy
STP-L01-01,L01,terminal,9,2,0,midday,snow,75,56,1.7,57,11.6,131,crowded
STP-L01-01,L01,terminal,9,2,0,midday,rain,57,38,2.9,114,5.8,84,crowded
STP-L01-01,L01,terminal,9,4,0,midday,fog,38,25,0.5,66,4.3,85,busy
STP-L01-01,L01,terminal,9,4,0,midday,snow,53,35,0.8,91,10.9,76,crowded
STP-L01-01,L01,terminal,12,0,0,lunch,clear,64,43,1.4,83,17.1,152,crowded
STP-L01-01,L01,terminal,12,0,0,lunch,fog,50,43,1.6,40,9.3,112,crowded
STP-L01-01,L01,terminal,12,1,0,lunch,rain,69,47,0.5,17,7.1,159,crowded
STP-L01-01,L01,terminal,12,1,0,lunch,wind,71,54,1.5,90,11.3,168,crowded
STP-L01-01,L01,terminal,12,2,0,lunch,cloudy,64,41,0.9,70,17.5,138,crowded
STP-L01-01,L01,terminal,12,2,0,lunch,wind,74,66,1.8,103,16.5,117,crowded
STP-L01-01,L01,terminal,12,4,0,lunch,fog,68,54,1.4,92,9.3,143,crowded
STP-L01-01,L01,terminal,12,4,0,lunch,snow,103,84,0.9,60,13.8,287,crowded
STP-L01-01,L01,terminal,12,5,1,lunch,clear,44,40,0.9,43,13.2,99,busy
STP-L01-01,L01,terminal,12,5,1,lunch,rain,46,41,2.6,93,13.9,103,busy
STP-L01-01,L01,terminal,13,0,0,lunch,rain,94,68,1.4,84,12.4,256,crowded
STP-L01-01,L01,terminal,13,0,0,lunch,fog,63,40,2.4,47,20.6,157,crowded
STP-L01-01,L01,terminal,17,2,0,evening_rush,clear,70,62,2.2,30,16.2,171,crowded
STP-L01-01,L01,terminal,17,2,0,evening_rush,wind,86,56,3.0,29,22.2,237,crowded
STP-L01-01,L01,terminal,17,3,0,evening_rush,cloudy,66,62,1.8,10,6.7,144,crowded
STP-L01-01,L01,terminal,17,3,0,evening_rush,fog,89,74,0.9,107,26.9,177,crowded
STP-L01-01,L01,terminal,17,5,1,evening_rush,wind,51,33,1.2,69,7.2,123,crowded
STP-L01-01,L01,terminal,17,5,1,evening_rush,clear,45,41,2.8,38,9.2,113,busy
STP-L01-01,L01,terminal,18,0,0,evening_rush,wind,69,54,2.4,21,16.2,130,crowded
STP-L01-01,L01,terminal,18,0,0,evening_rush,snow,140,113,2.1,66,42.3,334,crowded
STP-L01-01,L01,terminal,18,2,0,evening_rush,rain,93,72,1.1,53,25.5,258,crowded
STP-L01-01,L01,terminal,18,2,0,evening_rush,clear,99,78,0.5,39,13.6,240,crowded
STP-L01-01,L01,terminal,18,5,1,evening_rush,wind,69,58,0.9,23,7.0,147,crowded
STP-L01-01,L01,terminal,18,5,1,evening_rush,rain,86,57,2.1,91,29.0,205,crowded
STP-L01-01,L01,terminal,20,1,0,evening,cloudy,36,30,2.9,45,11.8,54,busy
STP-L01-01,L01,terminal,20,1,0,evening,snow,64,58,0.5,68,11.2,155,crowded
STP-L01-01,L01,terminal,20,4,0,evening,fog,43,37,1.9,69,5.5,118,busy
STP-L01-01,L01,terminal,20,4,0,evening,cloudy,39,33,0.8,84,5.0,93,busy
STP-L01-01,L01,terminal,20,6,1,evening,clear,23,21,2.4,32,7.1,60,moderate
STP-L01-01,L01,terminal,20,6,1,evening,fog,35,30,0.4,117,6.6,62,busy
STP-L01-01,L01,terminal,22,3,0,evening,snow,72,44,2.5,62,9.1,101,crowded
STP-L01-01,L01,terminal,22,3,0,evening,wind,45,35,2.9,87,13.7,98,busy
STP-L01-01,L01,terminal,22,5,1,evening,snow,51,34,3.0,81,13.9,122,crowded
STP-L01-01,L01,terminal,22,5,1,evening,wind,28,18,2.4,55,7.4,63,moderate
STP-L01-02,L01,regular,6,2,0,early_morning,clear,7,4,0.7,51,1.1,16,light
STP-L01-02,L01,regular,6,2,0,early_morning,fog,9,6,0.9,20,2.3,23,light
STP-L01-02,L01,regular,7,0,0,morning_rush,clear,16,11,1.3,113,5.0,30,moderate
STP-L01-02,L01,regular,7,0,0,morning_rush,rain,22,20,0.7,87,2.5,43,moderate
STP-L01-02,L01,regular,7,1,0,morning_rush,clear,23,14,0.5,12,4.4,45,moderate
STP-L01-02,L01,regular,7,1,0,morning_rush,wind,19,12,1.4,104,6.0,33,moderate
STP-L01-02,L01,regular,7,3,0,morning_rush,clear,20,15,2.4,9,4.0,31,moderate
STP-L01-02,L01,regular,7,3,0,morning_rush,wind,18,12,1.3,9,2.4,35,moderate
STP-L01-02,L01,regular,7,6,1,morning_rush,wind,13,11,0.5,104,2.3,28,light
STP-L01-02,L01,regular,7,6,1,morning_rush,clear,12,10,0.7,111,1.6,27,light
STP-L01-02,L01,regular,8,5,1,morning_rush,wind,11,7,2.2,81,1.5,20,light
STP-L01-02,L01,regular,8,5,1,morning_rush,fog,14,11,2.4,11,4.5,20,light
STP-L01-02,L01,regular,8,6,1,morning_rush,wind,14,12,2.9,84,4.4,21,light
STP-L01-02,L01,regular,8,6,1,morning_rush,snow,23,17,1.7,33,4.4,63,moderate
STP-L01-02,L01,regular,9,0,0,midday,snow,10,7,0.5,46,3.3,18,light
STP-L01-02,L01,regular,9,0,0,midday,fog,9,8,1.1,8,1.7,24,light
STP-L01-02,L01,regular,9,1,0,midday,clear,8,5,2.1,57,2.6,13,light
STP-L01-02,L01,regular,9,1,0,midday,fog,7,4,1.1,43,2.2,13,light
STP-L01-02,L01,regular,9,3,0,midday,rain,12,8,2.1,67,1.5,16,light
STP-L01-02,L01,regular,9,3,0,midday,wind,10,7,0.5,93,2.0,25,light
STP-L01-02,L01,regular,9,5,1,midday,wind,5,3,0.5,9,1.2,12,light
STP-L01-02,L01,regular,9,5,1,midday,fog,5,3,1.8,52,0.6,10,light
STP-L01-02,L01,regular,12,1,0,lunch,clear,11,9,2.9,90,2.9,23,light
STP-L01-02,L01,regular,12,1,0,lunch,wind,12,8,2.4,54,4.0,20,light
STP-L01-02,L01,regular,12,2,0,lunch,cloudy,10,7,1.5,24,2.7,26,light
STP-L01-02,L01,regular,12,2,0,lunch,fog,15,9,1.2,102,2.1,36,moderate
STP-L01-02,L01,regular,12,4,0,lunch,snow,20,18,2.3,71,2.4,31,moderate
STP-L01-02,L01,regular,12,4,0,lunch,rain,11,8,2.6,49,1.2,18,light
STP-L01-02,L01,regular,12,6,1,lunch,rain,12,9,0.9,24,1.5,20,light
STP-L01-02,L01,regular,12,6,1,lunch,cloudy,6,4,0.8,70,1.8,14,light
STP-L01-02,L01,regular,13,1,0,lunch,rain,15,11,2.4,59,1.7,40,moderate
STP-L01-02,L01,regular,13,1,0,lunch,clear,11,8,1.1,69,2.8,23,light
STP-L01-02,L01,regular,13,2,0,lunch,fog,14,8,2.5,14,2.6,31,light
STP-L01-02,L01,regular,13,2,0,lunch,clear,13,8,2.9,57,2.6,24,light
STP-L01-02,L01,regular,17,1,0,evening_rush,snow,29,18,1.9,90,8.9,80,moderate
STP-L01-02,L01,regular,17,1,0,evening_rush,fog,20,15,0.5,94,5.2,53,moderate
STP-L01-02,L01,regular,17,2,0,evening_rush,fog,19,12,2.3,88,5.9,31,moderate
STP-L01-02,L01,regular,17,2,0,evening_rush,rain,17,11,1.7,80,4.9,36,moderate
STP-L01-02,L01,regular,18,0,0,evening_rush,fog,18,13,1.0,116,5.8,47,moderate
STP-L01-02,L01,regular,18,0,0,evening_rush,wind,20,13,1.1,113,5.5,42,moderate
STP-L01-02,L01,regular,18,1,0,evening_rush,cloudy,13,8,2.5,115,2.2,18,light
STP-L01-02,L01,regular,18,1,0,evening_rush,rain,21,17,0.9,115,3.7,37,moderate
STP-L01-02,L01,regular,18,2,0,evening_rush,clear,16,10,2.0,39,1.9,24,moderate
STP-L01-02,L01,regular,18,2,0,evening_rush,fog,19,17,0.6,40,5.6,34,moderate
STP-L01-02,L01,regular,18,5,1,evening_rush,clear,9,6,2.4,67,2.5,18,light
STP-L01-02,L01,regular,18,5,1,evening_rush,cloudy,10,9,1.8,100,2.7,24,light
STP-L01-02,L01,regular,18,6,1,evening_rush,cloudy,11,8,1.9,65,3.1,16,light
STP-L01-02,L01,regular,18,6,1,evening_rush,clear,11,8,1.9,36,1.4,22,light
STP-L01-02,L01,regular,20,2,0,evening,fog,7,4,2.4,93,1.1,13,light
STP-L01-02,L01,regular,20,2,0,evening,wind,7,4,1.7,77,1.9,11,light
STP-L01-02,L01,regular,20,3,0,evening,clear,6,5,2.0,80,1.2,8,light
STP-L01-02,L01,regular,20,3,0,evening,snow,16,11,2.3,38,2.2,31,moderate
STP-L01-02,L01,regular,20,5,1,evening,wind,7,6,0.5,83,2.3,12,light
STP-L01-02,L01,regular,20,5,1,evening,rain,8,7,1.9,69,1.3,22,light
STP-L01-02,L01,regular,22,0,0,evening,snow,11,9,1.7,64,2.9,16,light
STP-L01-02,L01,regular,22,0,0,evening,clear,7,4,2.5,100,1.0,19,light
STP-L01-02,L01,regular,22,1,0,evening,snow,12,10,1.3,31,2.3,20,light
STP-L01-02,L01,regular,22,1,0,evening,wind,10,7,1.0,85,1.6,24,light
STP-L01-02,L01,regular,22,3,0,evening,fog,8,6,2.7,39,2.2,21,light
STP-L01-02,L01,regular,22,3,0,evening,clear,9,5,1.2,11,2.5,18,light
STP-L01-02,L01,regular,22,4,0,evening,wind,11,6,0.5,28,3.8,20,light
STP-L01-02,L01,regular,22,4,0,evening,snow,12,11,1.7,10,2.3,29,light
STP-L01-03,L01,regular,6,0,0,early_morning,wind,10,6,2.7,18,1.6,21,light
STP-L01-03,L01,regular,6,0,0,early_morning,clear,7,5,0.7,89,1.0,9,light
STP-L01-03,L01,regular,6,1,0,early_morning,snow,11,7,2.8,48,2.0,17,light
STP-L01-03,L01,regular,6,1,0,early_morning,fog,7,4,1.2,67,1.2,18,light
STP-L01-03,L01,regular,6,4,0,early_morning,wind,11,8,1.2,88,1.4,20,light
STP-L01-03,L01,regular,6,4,0,early_morning,cloudy,10,6,2.7,47,1.9,16,light
STP-L01-03,L01,regular,7,2,0,morning_rush,clear,24,14,2.9,81,2.7,46,moderate
STP-L01-03,L01,regular,7,2,0,morning_rush,wind,21,14,2.0,35,4.4,38,moderate
STP-L01-03,L01,regular,7,3,0,morning_rush,fog,26,19,2.3,50,5.2,40,moderate
STP-L01-03,L01,regular,7,3,0,morning_rush,cloudy,22,17,2.1,89,7.3,60,moderate
STP-L01-03,L01,regular,8,1,0,morning_rush,wind,18,11,1.1,79,5.7,42,moderate
STP-L01-03,L01,regular,8,1,0,morning_rush,fog,19,15,2.0,83,3.1,49,moderate
STP-L01-03,L01,regular,8,3,0,morning_rush,fog,22,13,1.0,49,2.5,48,moderate
STP-L01-03,L01,regular,8,3,0,morning_rush,snow,33,20,2.5,57,7.0,58,busy
STP-L01-03,L01,regular,8,6,1,morning_rush,rain,18,15,2.2,99,2.0,41,moderate
STP-L01-03,L01,regular,8,6,1,morning_rush,fog,15,12,2.2,30,2.8,29,moderate
STP-L01-03,L01,regular,9,6,1,midday,wind,5,3,2.8,49,1.7,9,light
STP-L01-03,L01,regular,9,6,1,midday,snow,9,7,2.7,72,2.3,16,light
STP-L01-03,L01,regular,12,2,0,lunch,rain,17,16,1.7,100,3.3,44,moderate
STP-L01-03,L01,regular,12,2,0,lunch,cloudy,11,8,2.1,104,3.3,18,light
STP-L01-03,L01,regular,12,3,0,lunch,rain,13,9,2.0,32,1.8,35,light
STP-L01-03,L01,regular,12,3,0,lunch,clear,9,7,2.3,117,1.5,17,light
STP-L01-03,L01,regular,12,5,1,lunch,wind,7,5,1.0,64,2.3,17,light
STP-L01-03,L01,regular,12,5,1,lunch,cloudy,6,4,0.5,57,1.8,11,light
STP-L01-03,L01,regular,13,0,0,lunch,rain,12,10,1.2,20,1.3,21,light
STP-L01-03,L01,regular,13,0,0,lunch,clear,10,6,2.8,35,2.8,21,light
STP-L01-03,L01,regular,13,1,0,lunch,snow,18,11,2.7,47,6.0,39,moderate
STP-L01-03,L01,regular,13,1,0,lunch,fog,14,8,1.8,80,4.8,37,light
STP-L01-03,L01,regular,13,2,0,lunch,cloudy,11,7,2.3,97,1.2,21,light
STP-L01-03,L01,regular,13,2,0,lunch,snow,18,15,1.7,120,2.1,29,moderate
STP-L01-03,L01,regular,13,4,0,lunch,cloudy,13,8,3.0,11,2.4,19,light
STP-L01-03,L01,regular,13,4,0,lunch,wind,9,5,1.0,118,3.1,15,light
STP-L01-03,L01,regular,17,0,0,evening_rush,snow,32,28,0.5,39,10.9,84,busy
STP-L01-03,L01,regular,17,0,0,evening_rush,fog,22,17,1.6,80,3.7,61,moderate
STP-L01-03,L01,regular,17,1,0,evening_rush,fog,19,15,2.0,69,4.4,38,moderate
STP-L01-03,L01,regular,17,1,0,evening_rush,rain,25,15,1.6,100,4.0,56,moderate
