observation_id,trip_id,line_id,stop_id,stop_sequence,stop_type,date,day_of_week,is_weekend,hour_of_day,time_bucket,planned_arrival,actual_arrival,delay_min,is_delayed,passengers_waiting,passengers_boarding,passengers_alighting,dwell_time_min,cumulative_delay_min,weather_condition,traffic_level,speed_factor,minutes_to_next_bus
OBS-000001,TRP-01868,L01,STP-L01-01,1,terminal,2025-03-05,2,0,20,evening,2025-03-05 20:36:36,2025-03-05 20:37:54,1.3,0,41,15,3,1.0,1.3,fog,moderate,0.595,15.5
OBS-000002,TRP-01868,L01,STP-L01-02,2,regular,2025-03-05,2,0,20,evening,2025-03-05 20:39:06,2025-03-05 20:41:24,2.3,1,8,5,4,0.8,2.3,fog,moderate,0.595,22.4
OBS-000003,TRP-01868,L01,STP-L01-03,3,regular,2025-03-05,2,0,20,evening,2025-03-05 20:42:06,2025-03-05 20:46:00,3.9,1,9,9,4,0.9,3.9,fog,moderate,0.595,27.3
OBS-000004,TRP-01868,L01,STP-L01-04,4,university,2025-03-05,2,0,20,evening,2025-03-05 20:46:00,2025-03-05 20:51:42,5.7,1,50,9,9,1.4,5.7,fog,moderate,0.595,15.4
OBS-000005,TRP-01868,L01,STP-L01-05,5,hospital,2025-03-05,2,0,20,evening,2025-03-05 20:48:54,2025-03-05 20:55:48,6.9,1,24,20,22,2.2,6.9,fog,moderate,0.595,16.2
OBS-000006,TRP-01868,L01,STP-L01-06,6,residential,2025-03-05,2,0,20,evening,2025-03-05 20:54:30,2025-03-05 21:03:30,9.0,1,15,5,0,0.5,9.0,fog,moderate,0.595,17.7
OBS-000007,TRP-01868,L01,STP-L01-07,7,regular,2025-03-05,2,0,20,evening,2025-03-05 20:57:54,2025-03-05 21:09:06,11.2,1,10,9,12,1.7,11.2,fog,moderate,0.595,25.7
OBS-000008,TRP-01868,L01,STP-L01-08,8,regular,2025-03-05,2,0,20,evening,2025-03-05 21:02:06,2025-03-05 21:15:18,13.2,1,9,1,1,0.9,13.2,fog,moderate,0.595,11.7
OBS-000009,TRP-01868,L01,STP-L01-09,9,university,2025-03-05,2,0,20,evening,2025-03-05 21:04:30,2025-03-05 21:18:42,14.2,1,53,51,23,3.3,14.2,fog,moderate,0.595,10.6
OBS-000010,TRP-01868,L01,STP-L01-10,10,regular,2025-03-05,2,0,20,evening,2025-03-05 21:09:48,2025-03-05 21:25:24,15.6,1,10,1,2,0.5,15.6,fog,moderate,0.595,12.5
OBS-000011,TRP-01868,L01,STP-L01-11,11,regular,2025-03-05,2,0,20,evening,2025-03-05 21:12:54,2025-03-05 21:30:30,17.6,1,9,2,0,0.5,17.6,fog,moderate,0.595,14.3
OBS-000012,TRP-01868,L01,STP-L01-12,12,regular,2025-03-05,2,0,20,evening,2025-03-05 21:16:12,2025-03-05 21:35:30,19.3,1,9,3,0,0.7,19.3,fog,moderate,0.595,24.1
OBS-000013,TRP-01868,L01,STP-L01-13,13,regular,2025-03-05,2,0,20,evening,2025-03-05 21:19:18,2025-03-05 21:40:00,20.7,1,8,8,3,1.3,20.7,fog,moderate,0.595,27.0
OBS-000014,TRP-01868,L01,STP-L01-14,14,terminal,2025-03-05,2,0,20,evening,2025-03-05 21:22:06,2025-03-05 21:43:48,21.7,1,55,12,16,1.2,21.7,fog,moderate,0.595,11.4
OBS-000015,TRP-13268,L04,STP-L04-01,1,terminal,2025-03-30,6,1,9,midday,2025-03-30 09:33:12,2025-03-30 09:33:30,0.3,0,28,21,2,1.4,0.3,cloudy,moderate,0.779,36.1
OBS-000016,TRP-13268,L04,STP-L04-02,2,residential,2025-03-30,6,1,9,midday,2025-03-30 09:37:06,2025-03-30 09:38:18,1.2,0,8,6,0,0.7,1.2,cloudy,moderate,0.779,29.3
OBS-000017,TRP-13268,L04,STP-L04-03,3,university,2025-03-30,6,1,9,midday,2025-03-30 09:40:06,2025-03-30 09:42:00,1.9,0,36,28,22,2.0,1.9,cloudy,moderate,0.779,21.0
OBS-000018,TRP-13268,L04,STP-L04-04,4,university,2025-03-30,6,1,9,midday,2025-03-30 09:44:24,2025-03-30 09:46:48,2.4,1,29,20,22,2.0,2.4,cloudy,moderate,0.779,31.3
OBS-000019,TRP-13268,L04,STP-L04-05,5,hospital,2025-03-30,6,1,9,midday,2025-03-30 09:48:18,2025-03-30 09:51:18,3.0,1,23,12,1,0.7,3.0,cloudy,moderate,0.779,25.5
